brand,name,fabric,price,url,image,category,source,description,created_at,updated_at,title,image_url
superdown,Ziva Bustier Top,,$68.00,https://www.revolve.com/superdown-ziva-bustier-top-in-tan-multi/dp/SPDW-WS1847/?d=Womens&page=1&lc=85&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=70&itcurrpage=1&itview=05,,Top,Revolve,superdown Ziva Bustier Top,2025-08-20T15:09:01.709248,2025-08-20T15:09:01.709249,superdown Ziva Bustier Top,
Citizens of Humanity,Miro Relaxed Wide Leg Jeans,,$258.00,https://www.revolve.com/citizens-of-humanity-miro-relaxed-wide-leg-jeans-in-pacifica/dp/CITI-WJ1880/?d=Womens&page=1&lc=86&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=70&itcurrpage=1&itview=05,,Bottom,Revolve,Citizens of Humanity Miro Relaxed Wide Leg Jeans,2025-08-20T15:09:01.709273,2025-08-20T15:09:01.709274,Citizens of Humanity Miro Relaxed Wide Leg Jeans,
Lovers and Friends,Christi Maxi Dress,,$199.00,https://www.revolve.com/lovers-and-friends-christi-maxi-dress-in-butter-yellow/dp/LOVF-WD4378/?d=Womens&page=1&lc=87&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=70&itcurrpage=1&itview=05,,Dress,Revolve,Lovers and Friends Christi Maxi Dress,2025-08-20T15:09:01.709297,2025-08-20T15:09:01.709298,Lovers and Friends Christi Maxi Dress,
Lovers and Friends,Ellie Maxi Dress,,$249.00,https://www.revolve.com/lovers-and-friends-ellie-maxi-dress-in-dusk-blue/dp/LOVF-WD4411/?d=Womens&page=1&lc=88&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=70&itcurrpage=1&itview=05,,Dress,Revolve,Lovers and Friends Ellie Maxi Dress,2025-08-20T15:09:01.709321,2025-08-20T15:09:01.709322,Lovers and Friends Ellie Maxi Dress,
superdown,Astar Mini Dress,,$80.00,https://www.revolve.com/superdown-astar-mini-dress-in-cream/dp/SPDW-WD2841/?d=Womens&page=1&lc=89&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=71&itcurrpage=1&itview=05,,Dress,Revolve,superdown Astar Mini Dress,2025-08-20T15:09:01.709344,2025-08-20T15:09:01.709345,superdown Astar Mini Dress,
superdown,Daija Short Set,,$78.00,https://www.revolve.com/superdown-daija-short-set-in-black/dp/SPDW-WR278/?d=Womens&page=1&lc=90&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=71&itcurrpage=1&itview=05,,Bottom,Revolve,superdown Daija Short Set,2025-08-20T15:09:01.709368,2025-08-20T15:09:01.709369,superdown Daija Short Set,
ALL THE WAYS,Marni Skirt Set,,$88.00,https://www.revolve.com/all-the-ways-marni-skirt-set-in-brown/dp/AAYR-WD123/?d=Womens&page=1&lc=91&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=71&itcurrpage=1&itview=05,,Bottom,Revolve,ALL THE WAYS Marni Skirt Set,2025-08-20T15:09:01.709393,2025-08-20T15:09:01.709394,ALL THE WAYS Marni Skirt Set,
AGOLDE,Harper Mid Rise Relaxed Straight Jeans,,$218.00,https://www.revolve.com/agolde-harper-mid-rise-relaxed-straight-jeans-in-flash/dp/AGOL-WJ496/?d=Womens&page=1&lc=92&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=71&itcurrpage=1&itview=05,,Bottom,Revolve,AGOLDE Harper Mid Rise Relaxed Straight Jeans,2025-08-20T15:09:01.709418,2025-08-20T15:09:01.709419,AGOLDE Harper Mid Rise Relaxed Straight Jeans,
Free People,Butterfly Babe Midi Dress,,$198.00,https://www.revolve.com/free-people-butterfly-babe-midi-dress-in-black-and-white-comb/dp/FREE-WD2661/?d=Womens&page=1&lc=93&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=72&itcurrpage=1&itview=05,,Dress,Revolve,Free People Butterfly Babe Midi Dress,2025-08-20T15:09:01.709442,2025-08-20T15:09:01.709443,Free People Butterfly Babe Midi Dress,
MORE TO COME,Darcey Maxi Dress,,$96.00,https://www.revolve.com/more-to-come-darcey-maxi-dress-in-dark-brown/dp/MOTO-WD513/?d=Womens&page=1&lc=94&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=72&itcurrpage=1&itview=05,,Dress,Revolve,MORE TO COME Darcey Maxi Dress,2025-08-20T15:09:01.709466,2025-08-20T15:09:01.709467,MORE TO COME Darcey Maxi Dress,
