id,brand,name,fabric,price,url,affiliate_link,image,category,source,description,created_at,updated_at,title,image_url,color
14,Lululemon,"Hotty Hot High-Rise Lined Short 4""",,68,https://shop.lululemon.com/p/women-shorts/Hotty-Hot-Short-HR-Long/_/prod9250073?color=70105,https://shop.lululemon.com/p/women-shorts/Hotty-Hot-Short-HR-Long/_/prod9250073?color=70105,https://images.lululemon.com/is/image/lululemon/70105,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Hotty Hot High-Rise Lined Short 4""",https://images.lululemon.com/is/image/lululemon/70105,70105
15,Lululemon,"Swiftly Tech Racerback Tank Top 2.0 
Hip Length",,58,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2/_/prod9750459?color=63775,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2/_/prod9750459?color=63775,https://images.lululemon.com/is/image/lululemon/63775,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Swiftly Tech Racerback Tank Top 2.0 
Hip Length",https://images.lululemon.com/is/image/lululemon/63775,63775
16,Lululemon,"Fast and Free High-Rise Tight 25"" 
5 Pocket",,128,https://shop.lululemon.com/p/womens-leggings/Nulux-5-Pocket-HR-Running-Tight-25/_/prod11380247?color=62468,https://shop.lululemon.com/p/womens-leggings/Nulux-5-Pocket-HR-Running-Tight-25/_/prod11380247?color=62468,https://images.lululemon.com/is/image/lululemon/62468,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Fast and Free High-Rise Tight 25"" 
5 Pocket",https://images.lululemon.com/is/image/lululemon/62468,62468
17,Lululemon,"Flow Y Bra Nulu 
Light Support, A–C Cups",,48,https://shop.lululemon.com/p/women-sports-bras/Flow-Y-Bra-Nulu/_/prod8910081?color=44893,https://shop.lululemon.com/p/women-sports-bras/Flow-Y-Bra-Nulu/_/prod8910081?color=44893,https://images.lululemon.com/is/image/lululemon/44893,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Flow Y Bra Nulu 
Light Support, A–C Cups",https://images.lululemon.com/is/image/lululemon/44893,44893
18,Lululemon,"Fast and Free High-Rise Classic-Fit Split Short 3""",,78,https://shop.lululemon.com/p/women-shorts/Fast-and-Free-High-Rise-Classic-Fit-Split-Short-3/_/prod11860117?color=0641,https://shop.lululemon.com/p/women-shorts/Fast-and-Free-High-Rise-Classic-Fit-Split-Short-3/_/prod11860117?color=0641,https://images.lululemon.com/is/image/lululemon/0641,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Fast and Free High-Rise Classic-Fit Split Short 3""",https://images.lululemon.com/is/image/lululemon/0641,0641
19,Lululemon,"Swiftly Tech Short-Sleeve Shirt 2.0 
Waist Length",,68,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-Race/_/prod9820343?color=70233,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-Race/_/prod9820343?color=70233,https://images.lululemon.com/is/image/lululemon/70233,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Swiftly Tech Short-Sleeve Shirt 2.0 
Waist Length",https://images.lululemon.com/is/image/lululemon/70233,70233
20,Lululemon,"Wunder Train High-Rise Short 6""",,64,https://shop.lululemon.com/p/women-shorts/Wunder-Train-HR-Short-6/_/prod9750511?color=70223,https://shop.lululemon.com/p/women-shorts/Wunder-Train-HR-Short-6/_/prod9750511?color=70223,https://images.lululemon.com/is/image/lululemon/70223,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Wunder Train High-Rise Short 6""",https://images.lululemon.com/is/image/lululemon/70223,70223
21,Lululemon,Mist Over Windbreaker,,128,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Mist-Over-Windbreaker/_/prod9270522?color=69098,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Mist-Over-Windbreaker/_/prod9270522?color=69098,https://images.lululemon.com/is/image/lululemon/69098,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,Mist Over Windbreaker,https://images.lululemon.com/is/image/lululemon/69098,69098
22,Lululemon,"Fast and Free High-Rise Lace Trim Short 6"" 
5 Pocket",,84,https://shop.lululemon.com/p/women-shorts/Fast-and-Free-High-Rise-Lace-Trim-Short-6-5-Pocket/_/prod20000403?color=69098,https://shop.lululemon.com/p/women-shorts/Fast-and-Free-High-Rise-Lace-Trim-Short-6-5-Pocket/_/prod20000403?color=69098,https://images.lululemon.com/is/image/lululemon/69098,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Fast and Free High-Rise Lace Trim Short 6"" 
5 Pocket",https://images.lululemon.com/is/image/lululemon/69098,69098
23,Lululemon,"Define Jacket 
Nulu",,128,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=70144,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=70144,https://images.lululemon.com/is/image/lululemon/70144,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Define Jacket 
Nulu",https://images.lululemon.com/is/image/lululemon/70144,70144
24,Lululemon,"Hotty Hot High-Rise Lined Short 2.5""",,68,https://shop.lululemon.com/p/women-shorts/Hotty-Hot-Short-HR/_/prod9250076?color=70223,https://shop.lululemon.com/p/women-shorts/Hotty-Hot-Short-HR/_/prod9250076?color=70223,https://images.lululemon.com/is/image/lululemon/70223,,Lululemon,,2025-06-27 15:58:31,2025-06-27 15:58:31,"Hotty Hot High-Rise Lined Short 2.5""",https://images.lululemon.com/is/image/lululemon/70223,70223
